ReleaseDate,SetID,SetName,SetSize,Common,Uncommon,Rare,Rare1,Rare2,Rare3,Rare4,Rare5,Rare6,Top10R,Top20-30R,Generation,HigherRarityPullRate,DSR,Date,Condition,QTY,Price
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,428,6/1/2024,Unopened,1,100
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,428,6/1/2024,Unopened,1,100
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,428,6/1/2024,Unopened,1,100
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,428,6/1/2024,Unopened,1,100
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,428,6/1/2024,Unopened,2,83.99
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,427,5/31/2024,Unopened,2,100
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,427,5/31/2024,Unopened,2,90
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,426,5/30/2024,Unopened,1,100
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,425,5/29/2024,Unopened,1,100
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,425,5/29/2024,Unopened,1,100
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,424,5/28/2024,Unopened,1,100
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,424,5/28/2024,Unopened,1,100.5
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,423,5/27/2024,Unopened,1,100.98
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,423,5/27/2024,Unopened,2,90
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,423,5/27/2024,Unopened,1,98.98
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,423,5/27/2024,Unopened,2,94.99
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,422,5/26/2024,Unopened,3,94.99
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,422,5/26/2024,Unopened,1,94.99
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,422,5/26/2024,Unopened,1,94.99
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,422,5/26/2024,Unopened,1,94.99
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,422,5/26/2024,Unopened,1,94.99
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,421,5/25/2024,Unopened,1,94.99
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,421,5/25/2024,Unopened,1,98.9
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,420,5/24/2024,Unopened,1,98.95
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,420,5/24/2024,Unopened,1,96.13
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,419,5/23/2024,Unopened,1,94.69
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,419,5/23/2024,Unopened,1,94.69
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,419,5/23/2024,Unopened,1,94.69
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,419,5/23/2024,Unopened,1,94.69
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,419,5/23/2024,Unopened,1,94.67
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,419,5/23/2024,Unopened,1,94.67
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,418,5/22/2024,Unopened,1,94.67
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,418,5/22/2024,Unopened,1,89.99
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,418,5/22/2024,Unopened,1,89.99
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,418,5/22/2024,Unopened,1,89.99
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,418,5/22/2024,Unopened,1,94.67
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,417,5/21/2024,Unopened,1,94.67
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,417,5/21/2024,Unopened,1,94.67
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,417,5/21/2024,Unopened,2,94.67
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,417,5/21/2024,Unopened,1,94.67
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,417,5/21/2024,Unopened,1,94.67
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,416,5/20/2024,Unopened,1,79.99
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,416,5/20/2024,Unopened,1,94.63
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,416,5/20/2024,Unopened,2,94.63
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,415,5/19/2024,Unopened,1,92.99
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,415,5/19/2024,Unopened,1,94.63
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,414,5/18/2024,Unopened,1,94.63
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,414,5/18/2024,Unopened,1,94.63
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,414,5/18/2024,Unopened,1,94.63
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,414,5/18/2024,Unopened,1,94.63
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,1,94.63
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,1,94.64
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,1,94.64
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,1,94.64
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,1,94.66
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,1,94
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,3,88.45
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,1,94.69
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,1,94.68
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,1,92.92
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,1,92.84
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,1,94.68
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,3,91.97
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,1,91.97
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,6,88.88
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,1,91.97
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,1,91.97
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,2,91.97
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,1,91.97
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,1,91.97
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,1,85.97
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,4,85.97
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,1,85.97
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,1,85.97
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,6,85.97
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,6,85.97
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,2,85.97
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,2,85.97
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,413,5/17/2024,Unopened,2,85.95
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,412,5/16/2024,Unopened,1,85.98
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,412,5/16/2024,Unopened,1,84.99
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,412,5/16/2024,Unopened,1,85.98
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,412,5/16/2024,Unopened,1,85.98
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,412,5/16/2024,Unopened,1,75.99
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,411,5/15/2024,Unopened,1,85.98
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,411,5/15/2024,Unopened,1,85.98
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,411,5/15/2024,Unopened,1,85.98
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,410,5/14/2024,Unopened,1,91.96
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,410,5/14/2024,Unopened,1,91.96
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,410,5/14/2024,Unopened,1,91.96
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,410,5/14/2024,Unopened,1,91.96
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,410,5/14/2024,Unopened,1,90
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,409,5/13/2024,Unopened,1,92.85
3/31/2023,SV01,Scarlet & Violet Base,258,105,60,21,12,20,24,10,6,0,1,1,12,0.03,409,5/13/2024,Unopened,1,91.99
