Metropolitan Area,Per Capita Personal Income (PCPI) (2019),Rank in PCPI before adjustment,Purchasing power of $1.00 (2019),PCPI after adjustments for purchasing power of dollar,Rank in PCPI after adjustment,CBSA Code,CBSA Title
" New York City-Newark-Jersey City, NY-NJ-PA ","$79,844",4.0,$0.80,"$63,875",7.0,35620.0,"New York-Newark-Jersey City, NY-NJ"
" Los Angeles-Long Beach-Anaheim, CA ","$66,684",8.0,$0.84,"$56,015",34.0,31080.0,"Los Angeles-Long Beach-Anaheim, CA"
" Chicago-Naperville-Elgin, IL-IN-WI ","$63,500",14.0,$0.97,"$61,595",18.0,16980.0,"Chicago-Naperville-Elgin, IL-IN"
" Dallas-Fort Worth-Arlington, TX ","$58,725",22.0,$0.99,"$58,138",27.0,19100.0,"Dallas-Fort Worth-Arlington, TX"
" Houston-The Woodlands-Sugar Land, TX ","$58,890",20.0,$0.98,"$57,712",28.0,26420.0,"Houston-Pasadena-The Woodlands, TX"
" Washington-Arlington-Alexandria, DC-VA-MD-WV ","$74,385",6.0,$0.85,"$63,227",9.0,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
" Miami-Fort Lauderdale-West Palm Beach, FL ","$60,966",16.0,$0.90,"$54,869",39.0,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL"
" Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ","$66,596",9.0,$0.95,"$63,226",10.0,37980.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
" Atlanta-Sandy Springs-Alpharetta, GA ","$54,557",32.0,$1.02,"$55,648",36.0,12060.0,"Atlanta-Sandy Springs-Roswell, GA"
" Phoenix-Mesa-Chandler, AZ ","$48,065",47.0,$1.01,"$48,546",48.0,38060.0,"Phoenix-Mesa-Chandler, AZ"
" Boston-Worcester-Providence, MA-RI-NH-CT CSA","$81,498",3.0,$0.87,"$70,903",3.0,14460.0,"Boston-Cambridge-Newton, MA-NH"
" San Francisco-Oakland-Berkeley, CA ","$104,291",2.0,$0.74,"$77,175",2.0,41860.0,"San Francisco-Oakland-Fremont, CA"
" Riverside-San Bernardino-Ontario, CA ","$42,242",50.0,$0.93,"$39,285",50.0,40140.0,"Riverside-San Bernardino-Ontario, CA"
" Detroit–Warren–Dearborn, MI ","$54,172",35.0,$1.04,"$56,339",32.0,19820.0,"Detroit-Warren-Dearborn, MI"
" Seattle-Tacoma-Bellevue, WA ","$78,073",5.0,$0.87,"$67,924",4.0,42660.0,"Seattle-Tacoma-Bellevue, WA"
" Minneapolis-St Paul-Bloomington, MN-WI ","$64,225",11.0,$0.97,"$62,298",13.0,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI"
" San Diego-Chula Vista-Carlsbad, CA ","$63,726",13.0,$0.85,"$54,167",41.0,41740.0,"San Diego-Chula Vista-Carlsbad, CA"
" Tampa-St Petersburg-Clearwater, FL ","$48, 908",43.0,$1.01,"$49,397",47.0,45300.0,"Tampa-St. Petersburg-Clearwater, FL"
" Denver-Aurora-Lakewood, CO ","$67,236",7.0,$0.96,"$64,547",5.0,19740.0,"Denver-Aurora-Centennial, CO"
" St Louis, MO-IL ","$56,293",27.0,$1.11,"$63,185",11.0,41180.0,"St. Louis, MO-IL"
" Baltimore-Columbia-Towson, MD ","$63,988",12.0,$0.95,"$60,789",21.0,12580.0,"Baltimore-Columbia-Towson, MD"
" Charlotte-Concord-Gastonia, NC-SC ","$53,916",43.0,$1.06,"$57,151",30.0,16740.0,"Charlotte-Concord-Gastonia, NC-SC"
" Orlando-Kissimmee-Sanford, FL ","$45,156",49.0,$1.01,"$45,608",49.0,36740.0,"Orlando-Kissimmee-Sanford, FL"
" San Antonio-New Braunfels, TX ","$48,694",46.0,$1.07,"$52,106",45.0,41700.0,"San Antonio-New Braunfels, TX"
" Portland-Vancouver-Hillsboro, OR-WA ","$59,921",19.0,$0.95,"$56,925",31.0,38900.0,"Portland-Vancouver-Hillsboro, OR-WA"
" Sacramento-Roseville-Folsom, CA ","$58,843",21.0,$0.95,"$55,901",35.0,40900.0,"Sacramento-Roseville-Folsom, CA"
" Pittsburgh-New Castle-Weirton, PA-OH-WV CSA","$60,227",18.0,$1.01,"$60,829",20.0,38300.0,"Pittsburgh, PA"
" Las Vegas-Henderson-Paradise, NV ","$48,806",45.0,$1.03,"$50,270",46.0,29820.0,"Las Vegas-Henderson-North Las Vegas, NV"
" Austin-Round Rock-Georgetown, TX ","$61,977",15.0,$1.01,"$62,597",12.0,12420.0,"Austin-Round Rock-San Marcos, TX"
" Cincinnati, OH-KY-IN ","$56,033",29.0,$1.10,"$61,636",16.0,17140.0,"Cincinnati, OH-KY-IN"
" Kansas City, MO-KS ","$55,009",31.0,$1.08,"$59,406",24.0,28140.0,"Kansas City, MO-KS"
